-,-,-
--start---
56, 43, 1022
31, 1, 992
47, -124, 993
7, -92, 974
7, -92, 974
25, -47, 984
40, -125, 972
50, -151, 1020
28, -149, 1003
28, -149, 1003
54, -162, 997
49, -212, 992
22, -258, 994
40, -316, 1006
56, -365, 990
62, -365, 999
62, -365, 999
92, -261, 986
57, -60, 994
-,-,-
42, 275, 966
42, 275, 966
28, 247, 1030
49, 238, 986
50, 252, 994
64, 294, 1022
64, 294, 1022
63, 229, 990
96, 85, 1000
80, -71, 988
47, -111, 996
22, -109, 997
22, -109, 997
-24, -13, 1020
-25, -21, 972
29, -90, 1029
46, -132, 983
55, -257, 953
55, -257, 953
43, -337, 1006
7, -468, 1036
62, -503, 982
74, -491, 986
120, -365, 998
-,-,-
-4, 262, 993
-4, 262, 993
13, 221, 1007
34, 190, 1009
57, 168, 1003
75, 186, 983
75, 186, 983
44, 200, 1016
66, 119, 1001
67, 43, 995
52, -71, 993
52, -71, 993
34, -30, 989
-25, 28, 1035
-17, -55, 985
10, -81, 994
10, -81, 994
24, -84, 1004
43, -73, 1009
39, -72, 969
47, -44, 1005
14, -122, 1004
14, -122, 1004
54, -245, 993
11, -368, 1011
62, -393, 988
38, -465, 1008
83, -406, 984
160, -226, 990
43, -134, 1009
43, -134, 1009
155, -239, 1001
-,-,-
10, 131, 1007
66, 81, 1014
15, 151, 999
24, 189, 994
24, 189, 994
26, 143, 1004
44, 62, 1005
68, -42, 1018
47, -101, 964
19, -93, 1000
19, -93, 1000
-14, -74, 1020
-6, -35, 969
10, -93, 1042
29, -62, 1020
8, 8, 963
8, 8, 963
12, 59, 1028
6, 34, 986
6, 34, 986
62, -54, 992
70, -116, 1033
73, -142, 965
65, -224, 1005
65, -224, 1005
64, -344, 991
36, -436, 1012
71, -452, 988
-,-,-
24, 159, 1023
54, 140, 959
59, 178, 1022
63, 231, 988
21, 227, 1020
21, 227, 1020
30, 192, 980
44, 52, 1027
23, -20, 1003
-2, 7, 945
-2, 7, 945
-3, 3, 1015
19, -18, 1001
26, 30, 985
26, 30, 985
56, 19, 1003
68, 18, 1003
34, -34, 994
34, -34, 994
22, -163, 982
41, -357, 1026
38, -657, 982
34, -730, 995
106, -508, 988
175, -195, 993
175, -195, 993
109, -66, 1002
-,-,-
-3, 168, 1022
46, 95, 975
46, 74, 1016
50, 102, 981
50, 102, 981
26, 196, 1006
21, 207, 986
34, 196, 1020
32, 140, 1014
32, 140, 1014
82, 23, 982
45, 8, 1000
34, -9, 1005
34, -9, 1005
34, -31, 994
30, -32, 1007
27, -57, 981
48, -87, 1005
48, -95, 982
48, -95, 982
45, -111, 1005
22, -149, 1010
41, -181, 986
10, -230, 1014
